info,num_bathroom,title,url,price,pid,num_bedroom,pid1,latitude,longitude,date,pid2
"
                    2br -
                ",,Hobart Townhouses - Close to Restaurants and Shopping,https://corvallis.craigslist.org/apa/5987892946.html,$825,5987892946,,,,,Mar  2,
"
                    2br -
                    760ft, -
                ",,"Dutch Bros, Sky High, OSU all in a 2 Mile Radius!!",https://corvallis.craigslist.org/apa/6026285711.html,$1100,6026285711,,,,,Mar  2,
"
                    4br -
                    1400ft, -
                ",,4bd/1.5bath Duplex,https://corvallis.craigslist.org/apa/6025858638.html,$1150,6025858638,,,,,Mar  1,
"
                    2br -
                    1140ft, -
                ",,Available 4/1/17 - Remodeled duplex; fenced yard with two patios!,https://corvallis.craigslist.org/apa/6025849748.html,$1250,6025849748,,,,,Mar  1,
"
                    4br -
                    2300ft, -
                ",,"4brs/2Baths, Close to OSU Campus",https://corvallis.craigslist.org/apa/6025643840.html,,6025643840,,,,,Mar  1,
"
                    1br -
                    650ft, -
                ",,Not Ready Yet?...I'll Save This One for YOU in April!,https://corvallis.craigslist.org/apa/6025596919.html,$800,6025596919,,,,,Mar  1,
"
                    1br -
                    728ft, -
                ",,CALL ABOUT OUR SPECIAL TODAY!!,https://corvallis.craigslist.org/apa/6025373795.html,$1020,6025373795,,,,,Mar  1,
"
                    1br -
                    728ft, -
                ",,START FRESH WITH THIS BEAUTIFUL 1 BEDROOM,https://corvallis.craigslist.org/apa/5998181241.html,$995,5998181241,,,,,Mar  1,
"
                    2br -
                    1029ft, -
                ",,WE HAVE A SPECIAL ON BOARD!! CALL TODAY!,https://corvallis.craigslist.org/apa/6025378368.html,$1220,6025378368,,,,,Mar  1,
"
                    3br -
                ",,~Beautiful 3Bed 2Bath Town Home~ Bring Fido With You!,https://corvallis.craigslist.org/apa/5988354231.html,$2275,5988354231,,,,,Mar  1,
"
                    2br -
                ",,RV rental spot,https://corvallis.craigslist.org/apa/5992500893.html,$400,5992500893,,,,,Mar  1,
"
                    2br -
                ",,OSU 2 bed 1 bath $1050 Ready to rent today!!,https://corvallis.craigslist.org/apa/6025002674.html,$1050,6025002674,,,,,Mar  1,
"
                    3br -
                    1100ft, -
                ",,Cute House for Lease in early March,https://corvallis.craigslist.org/apa/6024462232.html,$1395,6024462232,,,,,Mar  1,
"
                    4br -
                    1500ft, -
                ",,NICE 4 Bedroom/2 Bath Home in Alsea,https://corvallis.craigslist.org/apa/6024232884.html,$1000,6024232884,,,,,Feb 28,
